data,dia_setmana,servei,zona,disponibles,estat
2025-11-01,Saturday,ACR1,G,4,Cobert
2025-11-01,Saturday,ACR2,G,4,Cobert
2025-11-01,Saturday,AIG1,H,3,Cobert
2025-11-01,Saturday,AIG2,H,3,Cobert
2025-11-01,Saturday,AML1,G,4,Cobert
2025-11-01,Saturday,AML2,G,4,Cobert
2025-11-01,Saturday,AMO1,I,0,Descobert
2025-11-01,Saturday,AMO2,I,0,Descobert
2025-11-01,Saturday,ASA1,G,4,Cobert
2025-11-01,Saturday,ASA2,G,4,Cobert
2025-11-02,Sunday,ACR1,G,5,Cobert
2025-11-02,Sunday,ACR2,G,5,Cobert
2025-11-02,Sunday,AIG1,H,3,Cobert
2025-11-02,Sunday,AIG2,H,3,Cobert
2025-11-02,Sunday,AML1,G,5,Cobert
2025-11-02,Sunday,AML2,G,5,Cobert
2025-11-02,Sunday,AMO1,I,1,Cobert
2025-11-02,Sunday,AMO2,I,1,Cobert
2025-11-02,Sunday,ASA1,G,5,Cobert
2025-11-02,Sunday,ASA2,G,5,Cobert
2025-11-03,Monday,ACR1,G,5,Cobert
2025-11-03,Monday,ACR2,G,5,Cobert
2025-11-03,Monday,AIG1,H,4,Cobert
2025-11-03,Monday,AIG2,H,4,Cobert
2025-11-03,Monday,AML1,G,5,Cobert
2025-11-03,Monday,AML2,G,5,Cobert
2025-11-03,Monday,AMO1,I,2,Cobert
2025-11-03,Monday,AMO2,I,2,Cobert
2025-11-03,Monday,ASA1,G,5,Cobert
2025-11-03,Monday,ASA2,G,5,Cobert
2025-11-04,Tuesday,ACR1,G,5,Cobert
2025-11-04,Tuesday,ACR2,G,5,Cobert
2025-11-04,Tuesday,AIG1,H,3,Cobert
2025-11-04,Tuesday,AIG2,H,3,Cobert
2025-11-04,Tuesday,AML1,G,5,Cobert
2025-11-04,Tuesday,AML2,G,5,Cobert
2025-11-04,Tuesday,AMO1,I,2,Cobert
2025-11-04,Tuesday,AMO2,I,2,Cobert
2025-11-04,Tuesday,ASA1,G,5,Cobert
2025-11-04,Tuesday,ASA2,G,5,Cobert
2025-11-05,Wednesday,ACR1,G,5,Cobert
2025-11-05,Wednesday,ACR2,G,5,Cobert
2025-11-05,Wednesday,AIG1,H,4,Cobert
2025-11-05,Wednesday,AIG2,H,4,Cobert
2025-11-05,Wednesday,AML1,G,5,Cobert
2025-11-05,Wednesday,AML2,G,5,Cobert
2025-11-05,Wednesday,AMO1,I,1,Cobert
2025-11-05,Wednesday,AMO2,I,1,Cobert
2025-11-05,Wednesday,ASA1,G,5,Cobert
2025-11-05,Wednesday,ASA2,G,5,Cobert
2025-11-06,Thursday,ACR1,G,6,Cobert
2025-11-06,Thursday,ACR2,G,6,Cobert
2025-11-06,Thursday,AIG1,H,4,Cobert
2025-11-06,Thursday,AIG2,H,4,Cobert
2025-11-06,Thursday,AML1,G,6,Cobert
2025-11-06,Thursday,AML2,G,6,Cobert
2025-11-06,Thursday,AMO1,I,1,Cobert
2025-11-06,Thursday,AMO2,I,1,Cobert
2025-11-06,Thursday,ASA1,G,6,Cobert
2025-11-06,Thursday,ASA2,G,6,Cobert
2025-11-07,Friday,ACR1,G,6,Cobert
2025-11-07,Friday,ACR2,G,6,Cobert
2025-11-07,Friday,AIG1,H,4,Cobert
2025-11-07,Friday,AIG2,H,4,Cobert
2025-11-07,Friday,AML1,G,6,Cobert
2025-11-07,Friday,AML2,G,6,Cobert
2025-11-07,Friday,AMO1,I,1,Cobert
2025-11-07,Friday,AMO2,I,1,Cobert
2025-11-07,Friday,ASA1,G,6,Cobert
2025-11-07,Friday,ASA2,G,6,Cobert
2025-11-08,Saturday,ACR1,G,2,Cobert
2025-11-08,Saturday,ACR2,G,2,Cobert
2025-11-08,Saturday,AIG1,H,2,Cobert
2025-11-08,Saturday,AIG2,H,2,Cobert
2025-11-08,Saturday,AML1,G,2,Cobert
2025-11-08,Saturday,AML2,G,2,Cobert
2025-11-08,Saturday,AMO1,I,2,Cobert
2025-11-08,Saturday,AMO2,I,2,Cobert
2025-11-08,Saturday,ASA1,G,2,Cobert
